Title,Authors,Date,Price
Folios of New Writing,John Lehmann,1940,US $93.00
Folios of New Writing,John Lehmann,1941,US $93.00
New Writing,John Lehmann,1938,US $46.00
New Writing,John Lehmann,1939,US $46.00
Daylight,John Lehmann,1941,US $46.00
Monday or Tuesday,Virginia Woolf,1921,"US $2,200.00"
Anonymity An Enquiry,EM Forster,1925,US $300.00
The Ego and the Id,Sigmund Freud,1927,US $150.00
The Dark,Leonid Andreev,1922,GBP 123.50
Poems,C.N. Sidney Woolf,1918,GBP 50.00
Poems,TS Eliot,1919,GBP 50.00
Poems,Clive Bell,1921,GBP 50.00
Poems,Frank Prewett,1921,GBP 50.00
Poems,GH Luce,1923,GBP 50.00
Poems,Barrington Gates,1925,GBP 50.00
Poems,George Rylands,1931,GBP 50.00
New Signatures,Michael Roberts,1932,GBP 50.00
Poems,Maria Rainer Rilke,1934,GBP 50.00
Poems,Christopher Lee,1937,GBP 50.00
Poems,Kenneth Allott,1938,GBP 50.00
Poems,Terence Tiller,1941,GBP 50.00
Sissinghurst,Vita Sackville-West,1931,GBP 52.00
New Writing,John Lehmann,1938,US $105.00
New Writing,John Lehmann,1939,US $105.00
The Years,Virginia Woolf,1938,US $32.00
Essays in Applied Psycho-Analysis,Ernest Jones,1923,US $28.00
The Voyage Out,Virginia Woolf,1929,US $45.00
Collected Papers,Sigmund Freud,1924,US $64.00
Collected Papers,Sigmund Freud,1924,US $46.50
The Years,Virginia Woolf,1938,GBP 5.99
The Structure of the Novel,Edwin Muir,1928,US $20.00
Family History,Vita Sackville-West,1932,US $28.00
New Writing,John Lehmann,1938,GBP 9.99
New Writing,John Lehmann,1939,GBP 9.99
Daylight,John Lehmann,1941,GBP 9.99
The Mark on the Wall,Virginia Woolf,1919,US $675.00
Books and the Public,John Maynard Keynes,1927,US $325.00
Country Notes in Wartime,Vita Sackville-West,1940,GBP 69.00
The Ego and the Id,Sigmund Freud,1927,US $39.95
Between the Acts,Virginia Woolf,1941,GBP 182.00
The Waves,Virginia Woolf,1931,GBP 156.00
Letters,Stephen Reynolds,1923,GBP 9.99
The Years,Virginia Woolf,1938,US $45.00
Letters,Stephen Reynolds,1923,US $9.16
The Hogarth Letters,,1933,US $9.16
The Ego and the Id,Sigmund Freud,1927,US $27.99
The Backward Son,Stephen Spender,1940,US $75.00
Pharos and Pharillon,EM Forster,1923,GBP 59.99
The Years,Virginia Woolf,1938,GBP 4.99
Country Notes in Wartime,Vita Sackville-West,1940,GBP 442.00
Three Guineas,Virginia Woolf,1938,GBP 585.00
Letters,Stephen Reynolds,1923,US $18.40
Essays in Applied Psycho-Analysis,Ernest Jones,1923,US $50.00
The Years,Virginia Woolf,1938,US $20.00
Solitude,Vita Sackville-West,1938,"US $1,131.68"
Aftermath,RC Trevelyan,1941,GBP 42.67
The Years,Virginia Woolf,1938,GBP 5.95
The Common Reader,Virginia Woolf,1925,US $41.95
Letters,Stephen Reynolds,1923,US $46.00
Letters,Stephen Reynolds,1923,US $31.75
Country Notes in Wartime,Vita Sackville-West,1940,US $591.96
Collected Papers,Sigmund Freud,1924,US $22.00
The Ego and the Id,Sigmund Freud,1927,US $29.99
Collected Papers,Sigmund Freud,1924,US $22.00
The Dark,Leonid Andreev,1922,US $14.95
The Years,Virginia Woolf,1938,GBP 227.50
Between the Acts,Virginia Woolf,1941,US $243.75
Country Notes in Wartime,Vita Sackville-West,1940,GBP 65.00
Monday or Tuesday,Virginia Woolf,1921,US $11.72
Group Psychology and the Analysis of the Ego,Sigmund Freud,1922,US $22.79
The Years,Virginia Woolf,1938,GBP 58.50
The Waves,Virginia Woolf,1931,US $574.55
Letters,Stephen Reynolds,1923,US $15.99
Goodbye to Berlin,Christopher Isherwood,1939,US $412.50
Dream Analysis,Ella Freeman Sharpe,1937,US $24.95
The Ego and the Id,Sigmund Freud,1927,US $681.45
To the Lighthouse,Virginia Woolf,1927,US $5.19
All Passion Spent,Vita Sackville-West,1931,GBP 156.00
Letters,Stephen Reynolds,1923,US $13.99
Three Guineas,Virginia Woolf,1938,US $783.47
Letters,Stephen Reynolds,1923,US $24.30
Dream Analysis,Ella Freeman Sharpe,1937,US $45.00
The Years,Virginia Woolf,1938,US $148.69
Streamers Waving,CHB Kitchin,1925,AU $11.37
The Case is Altered,William Plomer,1932,GBP 13.03
The Dark,Leonid Andreev,1922,GBP 9.78
Letters,Stephen Reynolds,1923,US $70.95
Poems,C.N. Sidney Woolf,1918,US $21.54
Poems,TS Eliot,1919,US $21.54
Poems,Clive Bell,1921,US $21.54
Poems,Frank Prewett,1921,US $21.54
Poems,GH Luce,1923,US $21.54
Poems,Barrington Gates,1925,US $21.54
Poems,George Rylands,1931,US $21.54
Collected Poems,Vita Sackville-West,1933,US $21.54
Poems,Maria Rainer Rilke,1934,US $21.54
Collected Poems,Cecil Day Lewis,1935,US $21.54
Poems,Christopher Lee,1937,US $21.54
